repository,source,feature_category,subsystem,file_count,files
Apollon,PR #759,Standalone dashboard and routing,Apollon library/editor,89,library/lib/App.tsx; library/lib/apollon-editor.tsx; library/lib/components/AlignmentGuides.tsx; library/lib/components/CustomControls.tsx; library/lib/components/CustomMiniMap.tsx; library/lib/components/DraggableGhost.tsx; library/lib/components/Icon/ArrowBackIcon.tsx; library/lib/components/Icon/ArrowForwardIcon.tsx; library/lib/components/Icon/CheckIcon.tsx; library/lib/components/Icon/CrossIcon.tsx; library/lib/components/Icon/DeleteIcon.tsx; library/lib/components/Icon/EditIcon.tsx; library/lib/components/Icon/ExclamationIcon.tsx; library/lib/components/Icon/InfiniteIcon.tsx; library/lib/components/Icon/MapIcon.tsx; library/lib/components/Icon/PaintRollerIcon.tsx; library/lib/components/Icon/RedoIcon.tsx; library/lib/components/Icon/SouthEastArrowIcon.tsx; library/lib/components/Icon/SwapHorizIcon.tsx; library/lib/components/Icon/UndoIcon.tsx; library/lib/components/Icon/index.tsx; library/lib/components/collaboration/CollaborationLayer.tsx; library/lib/components/index.ts; library/lib/components/popovers/DefaultNodeEditPopover.tsx; library/lib/components/popovers/GenericPopover.tsx; library/lib/components/popovers/PopoverLayout.tsx; library/lib/components/popovers/PopoverManager.tsx; library/lib/components/popovers/activityDiagram/ActivitySwimlaneEditPopover.tsx; library/lib/components/popovers/bpmnDiagram/BPMNEndEventEditPopover.tsx; library/lib/components/popovers/bpmnDiagram/BPMNGatewayEditPopover.tsx; library/lib/components/popovers/bpmnDiagram/BPMNIntermediateEventEditPopover.tsx; library/lib/components/popovers/bpmnDiagram/BPMNPoolEditPopover.tsx; library/lib/components/popovers/bpmnDiagram/BPMNStartEventEditPopover.tsx; library/lib/components/popovers/bpmnDiagram/BPMNTaskEditPopover.tsx; library/lib/components/popovers/classDiagram/ClassEditPopover.tsx; library/lib/components/popovers/classDiagram/EditableAttributesList.tsx; library/lib/components/popovers/classDiagram/EditableMethodsList.tsx; library/lib/components/popovers/communicationDiagram/CommunicationObjectNameEditPopover.tsx; library/lib/components/popovers/componentDiagram/ComponentEditPopover.tsx; library/lib/components/popovers/componentDiagram/ComponentSubsystemEditPopover.tsx; library/lib/components/popovers/deploymentDiagram/DeploymentComponentEditPopover.tsx; library/lib/components/popovers/deploymentDiagram/DeploymentNodeEditPopover.tsx; library/lib/components/popovers/index.ts; library/lib/components/popovers/objectDiagram/ObjectEditPopover.tsx; library/lib/components/popovers/petriNetDiagram/PetriNetPlaceEditPopover.tsx; library/lib/components/popovers/reachabilityGraphDiagram/ReachabilityGraphMarkingEditPopover.tsx; library/lib/components/popovers/sfcDiagram/SfcActionTableEditPopover.tsx; library/lib/components/react/Apollon.tsx; library/lib/components/styleEditor/ColorButtons.tsx; library/lib/components/styleEditor/ColorEditorGroup.tsx; library/lib/components/styleEditor/HeaderSwitchElement.tsx; library/lib/components/styleEditor/NodeStyleEditor.tsx; library/lib/components/styleEditor/StereotypeButtonGroup.tsx; library/lib/components/styleEditor/StyleEditorPanel.tsx; library/lib/components/styleEditor/index.ts; library/lib/components/toolbars/NodeToolbar.tsx; library/lib/components/ui/Checkbox.tsx; library/lib/components/ui/DividerLine.tsx; library/lib/components/ui/HeaderSwitchElement.tsx; library/lib/components/ui/PrimaryButton.tsx; library/lib/components/ui/Select.tsx; library/lib/components/ui/StereotypeButtonGroup.tsx; library/lib/components/ui/StyleEditor/ColorButtons.tsx; library/lib/components/ui/StyleEditor/NodeStyleEditor.tsx; library/lib/components/ui/StyleEditor/index.ts; library/lib/components/ui/TextField.tsx; library/lib/components/ui/Tooltip.tsx; library/lib/components/ui/Typography.tsx; library/lib/components/ui/index.ts; library/lib/components/ui/portalTheme.ts; library/lib/constants.ts; library/lib/hooks/index.ts; library/lib/hooks/useNodeDragStop.ts; library/lib/index.tsx; library/lib/react.tsx; library/lib/store/diagramStore.ts; library/lib/styles/app.css; library/lib/styles/theme.ts; library/lib/types/locationPopover.ts; library/lib/types/nodes/NodeProps.ts; library/lib/typings.ts; library/lib/utils/alignmentUtils.ts; library/lib/utils/collaboration.ts; library/lib/utils/copyPasteUtils.ts; library/lib/utils/deepPartial.ts; library/lib/utils/index.ts; library/lib/utils/nodeUtils.ts; library/lib/utils/popoverUtils.ts; library/lib/utils/v3Typings.ts
Apollon,PR #759,Standalone dashboard and routing,Artemis assessment UI,15,library/lib/components/AssessmentSelectableElement.tsx; library/lib/components/AssessmentSelectionDebug.tsx; library/lib/components/popovers/AssessmentScore.tsx; library/lib/components/popovers/DefaultNodeGiveFeedbackPopover.tsx; library/lib/components/popovers/DefaultNodeSeeFeedbackPopover.tsx; library/lib/components/popovers/GiveFeedbackAssessmentBox.tsx; library/lib/components/popovers/SeeFeedbackAssessmentBox.tsx; library/lib/components/popovers/classDiagram/ClassGiveFeedbackPopover.tsx; library/lib/components/popovers/classDiagram/ClassSeeFeedbackPopover.tsx; library/lib/components/popovers/communicationDiagram/CommunicationObjectNameGiveFeedbackPopover.tsx; library/lib/components/popovers/communicationDiagram/CommunicationObjectNameSeeFeedbackPopover.tsx; library/lib/components/popovers/objectDiagram/ObjectGiveFeedbackPopover.tsx; library/lib/components/popovers/objectDiagram/ObjectSeeFeedbackPopover.tsx; library/lib/components/wrapper/AssessmentSelectableWrapper.tsx; library/lib/components/wrapper/FeedbackDropzone.tsx
Apollon,PR #759,Standalone dashboard and routing,Other,32,.changeset/library-theming-api.md; .changeset/migrate-mui-to-base-ui.md; .changeset/migrate-webapp-mui-to-shadcn.md; .gitignore; .prettierignore; AGENTS.md; README.md; docs/contributor/development/component-guidelines.md; docs/contributor/development/project-structure.md; docs/contributor/development/scripts.md; docs/library/api.md; docs/library/embedding/install.md; docs/library/embedding/react.md; docs/library/overview.md; docs/library/quickstart.md; docs/library/theming.md; docs/library/troubleshooting.md; docs/sidebars.contributor.ts; docs/sidebars.library.ts; docs/src/pages/index.tsx; knip.json; library/README.md; library/THEMING.md; library/eslint.config.mjs; library/scripts/localize-ui-types.mjs; library/vite.config.ts; vscode-extension/editor/src/store.ts; vscode-extension/editor/src/types.ts; vscode-extension/editor/src/utils/uuid.ts; vscode-extension/menu/src/store.ts; vscode-extension/src/menu-provider.ts; vscode-extension/src/types.ts
Apollon,PR #759,Standalone dashboard and routing,SVG/export pipeline,9,library/lib/components/svgs/AssessmentIcon.tsx; library/lib/components/svgs/nodes/MultilineText.tsx; library/lib/components/svgs/nodes/classDiagram/ClassSVG.tsx; library/lib/export/svgToPng.ts; library/lib/utils/exportStyles.ts; standalone/webapp/src/components/modals/PPTXExportModal.stories.tsx; standalone/webapp/src/components/modals/PPTXExportModal.tsx; standalone/webapp/src/utils/svgToPptx.ts; standalone/webapp/src/utils/thumbnailSvg.ts
Apollon,PR #759,Standalone dashboard and routing,edge rendering and interaction,30,library/lib/components/Icon/DragHandleIcon.tsx; library/lib/components/popovers/edgePopovers/ActivityDiagramEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/BPMNDiagramEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/ClassDiagramEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/CommunicationDiagramEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/ComponentDiagramEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/DeploymentDiagramEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/EdgeGiveFeedbackPopover.tsx; library/lib/components/popovers/edgePopovers/EdgeSeeFeedbackPopover.tsx; library/lib/components/popovers/edgePopovers/EdgeTypePreviewIcon.tsx; library/lib/components/popovers/edgePopovers/EdgeTypeSelect.tsx; library/lib/components/popovers/edgePopovers/FlowChartEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/ObjectDiagramEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/PetriNetEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/ReachabilityGraphEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/SwapEndsButton.tsx; library/lib/components/popovers/edgePopovers/SyntaxTreeEdgeEditPopover.tsx; library/lib/components/popovers/edgePopovers/UseCaseDiagramEdgeEditPopover.tsx; library/lib/components/popovers/sfcDiagram/SfcEdgeEditPopover.tsx; library/lib/components/styleEditor/EdgeStyleEditor.tsx; library/lib/components/toolbars/edgeToolBar/CustomEdgeToolBar.tsx; library/lib/components/ui/StyleEditor/EdgeStyleEditor.tsx; library/lib/edges/GenericEdge.tsx; library/lib/edges/edgeTypes/CommunicationDiagramEdge.tsx; library/lib/edges/types.tsx; library/lib/hooks/useHandleFinder.ts; library/lib/utils/edgeUtils.ts; library/lib/utils/geometry/bendHandles.ts; standalone/webapp/assets/images/how-to-use-edge-creation.png; standalone/webapp/src/hooks/useImportHandler.ts
Apollon,PR #759,Standalone dashboard and routing,release/package/versioning files,78,.github/actions/playwright-install-deps/action.yml; .github/workflows/pr-health-checks.yml; docs/package.json; library/package.json; package.json; packages/ui/components.json; packages/ui/eslint.config.mjs; packages/ui/package.json; packages/ui/src/components/alert-dialog.stories.tsx; packages/ui/src/components/alert-dialog.tsx; packages/ui/src/components/alert.stories.tsx; packages/ui/src/components/alert.tsx; packages/ui/src/components/aspect-ratio.stories.tsx; packages/ui/src/components/aspect-ratio.tsx; packages/ui/src/components/badge.stories.tsx; packages/ui/src/components/badge.tsx; packages/ui/src/components/button.stories.tsx; packages/ui/src/components/button.tsx; packages/ui/src/components/card.stories.tsx; packages/ui/src/components/card.tsx; packages/ui/src/components/checkbox.stories.tsx; packages/ui/src/components/checkbox.tsx; packages/ui/src/components/color-picker.stories.tsx; packages/ui/src/components/color-picker.tsx; packages/ui/src/components/command.stories.tsx; packages/ui/src/components/command.tsx; packages/ui/src/components/dialog.stories.tsx; packages/ui/src/components/dialog.tsx; packages/ui/src/components/dropdown-menu.stories.tsx; packages/ui/src/components/dropdown-menu.tsx; packages/ui/src/components/field.stories.tsx; packages/ui/src/components/field.tsx; packages/ui/src/components/hover-card.stories.tsx; packages/ui/src/components/hover-card.tsx; packages/ui/src/components/icon-button.stories.tsx; packages/ui/src/components/icon-button.tsx; packages/ui/src/components/input.stories.tsx; packages/ui/src/components/input.tsx; packages/ui/src/components/label.stories.tsx; packages/ui/src/components/label.tsx; packages/ui/src/components/popover.stories.tsx; packages/ui/src/components/popover.tsx; packages/ui/src/components/radio-group.stories.tsx; packages/ui/src/components/radio-group.tsx; packages/ui/src/components/select.stories.tsx; packages/ui/src/components/select.tsx; packages/ui/src/components/separator.stories.tsx; packages/ui/src/components/separator.tsx; packages/ui/src/components/sheet.stories.tsx; packages/ui/src/components/sheet.tsx; packages/ui/src/components/skeleton.stories.tsx; packages/ui/src/components/skeleton.tsx; packages/ui/src/components/spinner.stories.tsx; packages/ui/src/components/spinner.tsx; packages/ui/src/components/tabs.stories.tsx; packages/ui/src/components/tabs.tsx; packages/ui/src/components/textarea.stories.tsx; packages/ui/src/components/textarea.tsx; packages/ui/src/components/toggle-group.stories.tsx; packages/ui/src/components/toggle-group.tsx; packages/ui/src/components/toggle.stories.tsx; packages/ui/src/components/toggle.tsx; packages/ui/src/components/tooltip.stories.tsx; packages/ui/src/components/tooltip.tsx; packages/ui/src/lib/color-swatch-tokens.ts; packages/ui/src/lib/utils.ts; packages/ui/src/stories/Introduction.mdx; packages/ui/src/stories/Theming.mdx; packages/ui/src/stories/Tokens.stories.tsx; packages/ui/src/styles/components.css; packages/ui/src/styles/theme.css; packages/ui/src/styles/tokens.css; packages/ui/src/theme.ts; packages/ui/tsconfig.json; pnpm-lock.yaml; pnpm-workspace.yaml; vscode-extension/editor/package.json; vscode-extension/package.json
Apollon,PR #759,Standalone dashboard and routing,standalone web application,194,standalone/server/Dockerfile; standalone/server/package.json; standalone/server/src/scripts/migrate-string-to-json.ts; standalone/webapp/.storybook/main.ts; standalone/webapp/.storybook/preview.css; standalone/webapp/.storybook/preview.tsx; standalone/webapp/Dockerfile; standalone/webapp/Gemfile.lock; standalone/webapp/README.md; standalone/webapp/assets/images/how-to-use-node-creation.png; standalone/webapp/assets/images/how-to-use-node-edit.png; standalone/webapp/assets/images/how-to-use-node-move.png; standalone/webapp/eslint.config.mjs; standalone/webapp/ios/App/Podfile; standalone/webapp/ios/App/Podfile.lock; standalone/webapp/package.json; standalone/webapp/playwright.config.ts; standalone/webapp/src/App.tsx; standalone/webapp/src/components/AppLoadingScreen.stories.tsx; standalone/webapp/src/components/AssessmentScoreChips.tsx; standalone/webapp/src/components/Icon/KeyboardArrowDownIcon.tsx; standalone/webapp/src/components/Icon/MoonIcon.tsx; standalone/webapp/src/components/Icon/SunIcon.tsx; standalone/webapp/src/components/Icon/index.tsx; standalone/webapp/src/components/ListItemText.tsx; standalone/webapp/src/components/PageShell.tsx; standalone/webapp/src/components/Typography.tsx; standalone/webapp/src/components/home/DiagramActionsMenu.stories.tsx; standalone/webapp/src/components/home/DiagramCard.stories.tsx; standalone/webapp/src/components/home/DiagramCard.tsx; standalone/webapp/src/components/home/DiagramGallery.stories.tsx; standalone/webapp/src/components/home/DiagramGallery.tsx; standalone/webapp/src/components/home/DiagramGallerySkeleton.stories.tsx; standalone/webapp/src/components/home/DiagramGallerySkeleton.tsx; standalone/webapp/src/components/home/DropdownFilterMenu.tsx; standalone/webapp/src/components/home/HomeActionsPill.stories.tsx; standalone/webapp/src/components/home/HomeActionsPill.tsx; standalone/webapp/src/components/home/HomeBrandPill.stories.tsx; standalone/webapp/src/components/home/HomeBrandPill.tsx; standalone/webapp/src/components/home/HomeFooter.tsx; standalone/webapp/src/components/home/HomeHeaderRow.stories.tsx; standalone/webapp/src/components/home/HomeHeaderRow.tsx; standalone/webapp/src/components/home/HomeHelpMenu.tsx; standalone/webapp/src/components/home/HomeNewFab.stories.tsx; standalone/webapp/src/components/home/HomeNewFab.tsx; standalone/webapp/src/components/home/HomeRefinementChips.stories.tsx; standalone/webapp/src/components/home/HomeRefinementChips.tsx; standalone/webapp/src/components/home/MenuShell.tsx; standalone/webapp/src/components/home/RefinePopover.stories.tsx; standalone/webapp/src/components/home/RefinePopover.tsx; standalone/webapp/src/components/home/SegmentedControl.tsx; standalone/webapp/src/components/home/diagramTypeMeta.tsx; standalone/webapp/src/components/home/useHelpMenu.ts; standalone/webapp/src/components/home/useHomeChrome.ts; standalone/webapp/src/components/index.ts; standalone/webapp/src/components/modals/AboutModal.stories.tsx; standalone/webapp/src/components/modals/AboutModal.tsx; standalone/webapp/src/components/modals/CollaborateNameModal.stories.tsx; standalone/webapp/src/components/modals/CollaborateNameModal.tsx; standalone/webapp/src/components/modals/EmbedSnippetPanel.stories.tsx; standalone/webapp/src/components/modals/EmbedSnippetPanel.tsx; standalone/webapp/src/components/modals/HomeDialog.stories.tsx; standalone/webapp/src/components/modals/HomeDialog.tsx; standalone/webapp/src/components/modals/HowToUseModal.stories.tsx; standalone/webapp/src/components/modals/HowToUseModal.tsx; standalone/webapp/src/components/modals/NewDiagramModal.stories.tsx; standalone/webapp/src/components/modals/NewDiagramModal.tsx; standalone/webapp/src/components/modals/ShareDashboardModal.stories.tsx; standalone/webapp/src/components/modals/ShareDashboardModal.tsx; standalone/webapp/src/components/modals/ShareLinkRow.stories.tsx; standalone/webapp/src/components/modals/ShareLinkRow.tsx; standalone/webapp/src/components/modals/ShareModal.stories.tsx; standalone/webapp/src/components/modals/ShareModal.tsx; standalone/webapp/src/components/modals/TemplateThumbnail.stories.tsx; standalone/webapp/src/components/modals/TemplateThumbnail.tsx; standalone/webapp/src/components/navbar/BackNav.stories.tsx; standalone/webapp/src/components/navbar/BackNav.tsx; standalone/webapp/src/components/navbar/BrandAndVersion.tsx; standalone/webapp/src/components/navbar/BrandLockup.stories.tsx; standalone/webapp/src/components/navbar/BrandLockup.tsx; standalone/webapp/src/components/navbar/ChromeSubHeader.tsx; standalone/webapp/src/components/navbar/EditorChromeHeader.stories.tsx; standalone/webapp/src/components/navbar/EditorChromeHeader.tsx; standalone/webapp/src/components/navbar/EditorHeader.stories.tsx; standalone/webapp/src/components/navbar/EditorHeader.tsx; standalone/webapp/src/components/navbar/FileMenu.stories.tsx; standalone/webapp/src/components/navbar/FileMenu.tsx; standalone/webapp/src/components/navbar/HeaderIslands.tsx; standalone/webapp/src/components/navbar/HeaderTitleField.stories.tsx; standalone/webapp/src/components/navbar/HeaderTitleField.tsx; standalone/webapp/src/components/navbar/HelpMenu.stories.tsx; standalone/webapp/src/components/navbar/HelpMenu.tsx; standalone/webapp/src/components/navbar/HomeNavbar.tsx; standalone/webapp/src/components/navbar/JsonFileImportButton.stories.tsx; standalone/webapp/src/components/navbar/JsonFileImportButton.tsx; standalone/webapp/src/components/navbar/MobileIslands.stories.tsx; standalone/webapp/src/components/navbar/MobileIslands.tsx; standalone/webapp/src/components/navbar/NavbarFile.tsx; standalone/webapp/src/components/navbar/NavbarHelp.tsx; standalone/webapp/src/components/navbar/SaveLocalCopyButton.stories.tsx; standalone/webapp/src/components/navbar/SaveLocalCopyButton.tsx; standalone/webapp/src/components/navbar/ThemeSwitcher.stories.tsx; standalone/webapp/src/components/navbar/ThemeSwitcher.tsx; standalone/webapp/src/components/navbar/VersionHistoryButton.stories.tsx; standalone/webapp/src/components/navbar/VersionHistoryButton.tsx; standalone/webapp/src/components/navbar/index.ts; standalone/webapp/src/components/navbar/islandPrimitives.stories.tsx; standalone/webapp/src/components/navbar/islandPrimitives.tsx; standalone/webapp/src/components/navbar/styleConstants.ts; standalone/webapp/src/components/navbar/useDiagramTitle.ts; standalone/webapp/src/components/playground/AssessmentDataBox.stories.tsx; standalone/webapp/src/components/playground/AssessmentDataBox.tsx; standalone/webapp/src/components/playground/CollapsibleSidebar.stories.tsx; standalone/webapp/src/components/playground/CollapsibleSidebar.tsx; standalone/webapp/src/components/ui/button.tsx; standalone/webapp/src/components/versioning/AutoGroupRow.stories.tsx; standalone/webapp/src/components/versioning/AutoGroupRow.tsx; standalone/webapp/src/components/versioning/ConfirmRestoreModal.stories.tsx; standalone/webapp/src/components/versioning/ConfirmRestoreModal.tsx; standalone/webapp/src/components/versioning/CurrentVersionRow.stories.tsx; standalone/webapp/src/components/versioning/CurrentVersionRow.tsx; standalone/webapp/src/components/versioning/DeleteVersionModal.stories.tsx; standalone/webapp/src/components/versioning/DeleteVersionModal.tsx; standalone/webapp/src/components/versioning/UndoRestoreToast.stories.tsx; standalone/webapp/src/components/versioning/UndoRestoreToast.tsx; standalone/webapp/src/components/versioning/VersionDrawer.stories.tsx; standalone/webapp/src/components/versioning/VersionDrawer.tsx; standalone/webapp/src/components/versioning/VersionListItem.stories.tsx; standalone/webapp/src/components/versioning/VersionListItem.tsx; standalone/webapp/src/components/versioning/VersionPreviewBanner.stories.tsx; standalone/webapp/src/components/versioning/VersionPreviewBanner.tsx; standalone/webapp/src/components/versioning/VersionThumbnail.stories.tsx; standalone/webapp/src/components/versioning/VersionThumbnail.tsx; standalone/webapp/src/components/versioning/index.ts; standalone/webapp/src/components/versioning/strings.ts; standalone/webapp/src/components/versioning/theme.ts; standalone/webapp/src/constants/colorPlate.ts; standalone/webapp/src/constants/index.ts; standalone/webapp/src/constants/responsive.ts; standalone/webapp/src/constants/themings.json; standalone/webapp/src/hooks/dequeueNextDiagram.ts; standalone/webapp/src/hooks/index.ts; standalone/webapp/src/hooks/useDiagramThumbnailWarmup.ts; standalone/webapp/src/hooks/useMediaQuery.ts; standalone/webapp/src/hooks/useThumbnailViewportPriority.ts; standalone/webapp/src/hooks/useVersionPreviewUrlSync.ts; standalone/webapp/src/logger.ts; standalone/webapp/src/pages/ApollonLocal.tsx; standalone/webapp/src/pages/ApollonPlayground.tsx; standalone/webapp/src/pages/ApollonShared.tsx; standalone/webapp/src/pages/ErrorPage.stories.tsx; standalone/webapp/src/pages/ErrorPage.tsx; standalone/webapp/src/pages/HomePage.tsx; standalone/webapp/src/pages/LegalPage.stories.tsx; standalone/webapp/src/pages/LegalPage.tsx; standalone/webapp/src/pages/index.ts; standalone/webapp/src/routes/__root.tsx; standalone/webapp/src/routes/shared.$diagramId.tsx; standalone/webapp/src/services/DiagramApiClient.ts; standalone/webapp/src/services/versionRepository/index.ts; standalone/webapp/src/stores/usePersistenceModelStore.tsx; standalone/webapp/src/stores/useThemeStore.tsx; standalone/webapp/src/stories/_support/editor.tsx; standalone/webapp/src/stories/_support/persistence.ts; standalone/webapp/src/stories/_support/versioning.ts; standalone/webapp/src/stories/_support/webapp.tsx; standalone/webapp/src/stories/editor/ActivityDiagram.stories.tsx; standalone/webapp/src/stories/editor/BPMN.stories.tsx; standalone/webapp/src/stories/editor/ClassDiagram.stories.tsx; standalone/webapp/src/stories/editor/CommunicationDiagram.stories.tsx; standalone/webapp/src/stories/editor/ComponentDiagram.stories.tsx; standalone/webapp/src/stories/editor/DeploymentDiagram.stories.tsx; standalone/webapp/src/stories/editor/Flowchart.stories.tsx; standalone/webapp/src/stories/editor/Introduction.mdx; standalone/webapp/src/stories/editor/Modes.stories.tsx; standalone/webapp/src/stories/editor/ObjectDiagram.stories.tsx; standalone/webapp/src/stories/editor/PetriNet.stories.tsx; standalone/webapp/src/stories/editor/Playground.stories.tsx; standalone/webapp/src/stories/editor/ReachabilityGraph.stories.tsx; standalone/webapp/src/stories/editor/SFC.stories.tsx; standalone/webapp/src/stories/editor/SyntaxTree.stories.tsx; standalone/webapp/src/stories/editor/UseCaseDiagram.stories.tsx; standalone/webapp/src/utils/date.ts; standalone/webapp/src/utils/readFileContent.ts; standalone/webapp/src/utils/saveLocalDiagramCopy.ts; standalone/webapp/src/utils/sharedDiagramLinks.ts; standalone/webapp/src/utils/sharedDiagramStorage.ts; standalone/webapp/src/utils/thumbnailTheme.ts; standalone/webapp/src/webapp.css; standalone/webapp/src/wrappers/ModalFrame.tsx; standalone/webapp/src/wrappers/ModalWrapper.tsx; standalone/webapp/src/wrappers/index.ts; standalone/webapp/tsconfig.json; standalone/webapp/vite.config.ts
Apollon,PR #759,Standalone dashboard and routing,tests,38,library/tests/unit/MultilineText.test.tsx; library/tests/unit/cssVariableContract.test.ts; library/tests/unit/exportSelfContained.test.ts; packages/ui/tests/button.test.tsx; packages/ui/tests/checkbox.test.tsx; packages/ui/tests/dialog.test.tsx; packages/ui/tests/dropdown-menu.test.tsx; packages/ui/tests/popover.test.tsx; packages/ui/tests/primitives.test.tsx; packages/ui/tests/radio-group.test.tsx; packages/ui/tests/select.test.tsx; packages/ui/tests/setup.ts; packages/ui/tests/sheet.test.tsx; packages/ui/tests/theme.test.ts; packages/ui/tests/tooltip.test.tsx; packages/ui/vitest.config.ts; standalone/webapp/.storybook/vitest.setup.ts; standalone/webapp/src/components/modals/EmbedSnippetPanel.test.tsx; standalone/webapp/src/components/versioning/VersionListItem.test.tsx; standalone/webapp/src/components/versioning/previewExit.test.tsx; standalone/webapp/src/hooks/dequeueNextDiagram.test.ts; standalone/webapp/src/hooks/useThumbnailViewportPriority.test.ts; standalone/webapp/src/pages/ApollonShared.test.tsx; standalone/webapp/src/utils/sharedDiagramStorage.test.ts; standalone/webapp/tests/e2e/activity-swimlane.spec.ts; standalone/webapp/tests/e2e/collaboration-cursor.spec.ts; standalone/webapp/tests/e2e/edge-decorations.spec.ts; standalone/webapp/tests/e2e/edge-interactions.spec.ts; standalone/webapp/tests/e2e/edge-resize-gap.spec.ts; standalone/webapp/tests/e2e/editor.spec.ts; standalone/webapp/tests/e2e/home-page.spec.ts; standalone/webapp/tests/e2e/local-version-history.spec.ts; standalone/webapp/tests/fixtures/single-class.json; standalone/webapp/tests/helpers/canvas.ts; standalone/webapp/tests/unit/thumbnailTheme.test.ts; standalone/webapp/tests/visual/how-to-use.visual.spec.ts; standalone/webapp/vitest.config.storybook.ts; standalone/webapp/vitest.config.ts
Apollon,PR #710,Apollon v3 to v4 migration support,Apollon library/editor,24,library/lib/App.tsx; library/lib/components/CustomBackground.tsx; library/lib/components/DraggableGhost.tsx; library/lib/components/ReconnectConnectionLine.tsx; library/lib/components/index.ts; library/lib/components/popovers/GenericPopover.tsx; library/lib/constants.ts; library/lib/hooks/useConnect.ts; library/lib/hooks/useNodeDrag.ts; library/lib/hooks/useReconnect.ts; library/lib/nodes/activityDiagram/ActivityFinalNode.tsx; library/lib/nodes/activityDiagram/ActivityInitialNode.tsx; library/lib/nodes/activityDiagram/ActivityMergeNode.tsx; library/lib/nodes/deploymentDiagram/DeploymentInterface.tsx; library/lib/nodes/flowchart/FlowchartDecision.tsx; library/lib/nodes/petriNetDiagram/PetriNetPlace.tsx; library/lib/nodes/petriNetDiagram/PetriNetTransition.tsx; library/lib/nodes/wrappers/DefaultNodeWrapper.tsx; library/lib/store/diagramStore.ts; library/lib/store/metadataStore.ts; library/lib/styles/app.css; library/lib/typings.ts; library/lib/utils/alignmentUtils.ts; library/lib/utils/versionConverter.ts
Apollon,PR #710,Apollon v3 to v4 migration support,edge rendering and interaction,25,library/lib/components/svgs/edges/InlineMarker.tsx; library/lib/components/toolbars/edgeToolBar/CustomEdgeToolBar.tsx; library/lib/edges/Connection.ts; library/lib/edges/GenericEdge.tsx; library/lib/edges/edgeTypes/ActivityDiagramEdge.tsx; library/lib/edges/edgeTypes/BPMNDiagramEdge.tsx; library/lib/edges/edgeTypes/ClassDiagramEdge.tsx; library/lib/edges/edgeTypes/CommunicationDiagramEdge.tsx; library/lib/edges/edgeTypes/ComponentDiagramEdge.tsx; library/lib/edges/edgeTypes/DeploymentDiagramEdge.tsx; library/lib/edges/edgeTypes/FlowChartEdge.tsx; library/lib/edges/edgeTypes/ObjectDiagramEdge.tsx; library/lib/edges/edgeTypes/PetriNetEdge.tsx; library/lib/edges/edgeTypes/ReachabilityGraphArc.tsx; library/lib/edges/edgeTypes/SfcDiagramEdge.tsx; library/lib/edges/edgeTypes/SyntaxTreeEdge.tsx; library/lib/edges/edgeTypes/UseCaseDiagramEdge.tsx; library/lib/edges/labelTypes/EdgeMiddleLabels.tsx; library/lib/edges/labelTypes/EdgeMultipleLabels.tsx; library/lib/hooks/useHandleFinder.ts; library/lib/hooks/useStepPathEdge.ts; library/lib/hooks/useStraightPathEdge.ts; library/lib/services/migration/EdgeTransformer.ts; library/lib/utils/edgeUtils.ts; library/lib/utils/geometry/bendHandles.ts
