deck,pdf_page,section_label,takeaway_title,slide_kind,diagram_visual,diagram_type,apollon_mappable,notes
BA Presentation Fangxing_Liu (1).pdf,1,title,Enhancing Terminal Usability in Modern IDEs through AI-Assistance,title,none,,,
BA Presentation Fangxing_Liu (1).pdf,2,overview,Beginner Student / Professional Developer,context,icon-array,,,two-persona map (closest thing to an agenda in corpus)
BA Presentation Fangxing_Liu (1).pdf,3,introduction,EduIDE (beginner),context,screenshot,,,build 3-4
BA Presentation Fangxing_Liu (1).pdf,4,introduction,EduIDE terminal,context,screenshot,,,build of p3
BA Presentation Fangxing_Liu (1).pdf,5,problem,NullPointerException wall,problem,code,,,
BA Presentation Fangxing_Liu (1).pdf,6,motivation,Motivation - Beginner,motivation,icon-array,,,3 cards
BA Presentation Fangxing_Liu (1).pdf,7,objectives,Objectives - Beginner,objectives/requirements/RQ,icon-array,,,3 cards
BA Presentation Fangxing_Liu (1).pdf,8,scope,Use Case Model - Beginner,domain/use-case,formal UML/model,use case,yes,system boundary + legend
BA Presentation Fangxing_Liu (1).pdf,9,demo,AI Terminal Assistant Live Demo,demo,none,,,separator
BA Presentation Fangxing_Liu (1).pdf,10,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,EduIDE extension components; Existing/Modified/New legend
BA Presentation Fangxing_Liu (1).pdf,11,problem,Terminal Output component focus,architecture/subsystem,formal UML/model,component,yes,small focus diagram
BA Presentation Fangxing_Liu (1).pdf,12,implementation,Unstructured Terminal Output,other,code,,,
BA Presentation Fangxing_Liu (1).pdf,13,implementation,Structured Terminal Output,other,code,,,build 13-15
BA Presentation Fangxing_Liu (1).pdf,14,implementation,Structured Terminal Output,other,code,,,build
BA Presentation Fangxing_Liu (1).pdf,15,implementation,Structured Terminal Output,other,code,,,build
BA Presentation Fangxing_Liu (1).pdf,16,overview,Persona switch,context,icon-array,,,"re-show of p2, professional highlighted"
BA Presentation Fangxing_Liu (1).pdf,17,problem,Problem - Professional,problem,code,,,log wall
BA Presentation Fangxing_Liu (1).pdf,18,motivation,Motivation - Professional,motivation,icon-array,,,
BA Presentation Fangxing_Liu (1).pdf,19,objectives,Objectives - Professional,objectives/requirements/RQ,icon-array,,,
BA Presentation Fangxing_Liu (1).pdf,20,demo,Enhanced Terminal UX Live Demo,demo,none,,,second demo separator
BA Presentation Fangxing_Liu (1).pdf,21,status,Status,status,none,,,two-persona checklist
BA Presentation Fangxing_Liu (1).pdf,22,future work,Future Work,future work,none,,,two-persona list
BA Presentation Fangxing_Liu (1).pdf,23,thanks,Thank you for your attention.,questions/thanks,none,,,
BA Presentation Jakub Jakubczyk Logos.pdf,1,title,(Logos) title,title,none,,,custom dark template
BA Presentation Jakub Jakubczyk Logos.pdf,2,problem,"Static registry, scarce GPUs, no runtime visibility",problem,icon-array,,,3 columns
BA Presentation Jakub Jakubczyk Logos.pdf,3,objectives,Objectives O1-O3,objectives/requirements/RQ,none,,,numbered objectives
BA Presentation Jakub Jakubczyk Logos.pdf,4,gap analysis,From passive forwarder to active coordinator,context,table,,,baseline vs proposed
BA Presentation Jakub Jakubczyk Logos.pdf,5,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,6,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,7,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,8,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,9,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,10,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,11,worker lifecycle,"Sleep models, don't unload",dynamic/workflow,formal UML/model,state machine,no,lane lifecycle state machine; not an Apollon type (closest: activity/flowchart)
BA Presentation Jakub Jakubczyk Logos.pdf,12,demo,See it running,demo,none,,,separator
BA Presentation Jakub Jakubczyk Logos.pdf,13,evaluation,One workload. Two approaches. Three load levels.,evaluation/results,table,,,hardware/model setup
BA Presentation Jakub Jakubczyk Logos.pdf,14,evaluation,Time To First Token,evaluation/results,chart/plot,,,latency distribution plots
BA Presentation Jakub Jakubczyk Logos.pdf,15,status,Conclusion / Status,status,none,,,per-objective verdicts
BA Presentation Jakub Jakubczyk Logos.pdf,16,back cover,(closing),questions/thanks,none,,,
BA Presentation Kalra Catherine.pdf,1,title,Integrating AI Assistance in TUM's Doctoral Application Portal,title,none,,,
BA Presentation Kalra Catherine.pdf,2,problem,Inaccessible Job Postings / legal exposure,problem,screenshot,,,2 cards
BA Presentation Kalra Catherine.pdf,3,problem,Tedious Manual Entry / Biased Recommendations,problem,screenshot,,,2 cards
BA Presentation Kalra Catherine.pdf,4,motivation,Accessibility / Compliance / Efficiency / Integrity,motivation,icon-array,,,4 cards
BA Presentation Kalra Catherine.pdf,5,objectives,Objectives,objectives/requirements/RQ,icon-array,,,4 cards
BA Presentation Kalra Catherine.pdf,6,system models,Dynamic Model,dynamic/workflow,formal UML/model,activity,partial,swimlane activity (Professor/System); Apollon has no swimlanes
BA Presentation Kalra Catherine.pdf,7,system models,Analysis Object Model,data model,formal UML/model,class,yes,AOM ~80% width
BA Presentation Kalra Catherine.pdf,8,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,9,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,10,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,11,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,12,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,13,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,14,demo,Live Demo,demo,none,,,separator
BA Presentation Kalra Catherine.pdf,15,status,Realized Goals,status,none,,,"reuses objective cards, green/yellow checks"
BA Presentation Kalra Catherine.pdf,16,status,Ongoing Goals,status,none,,,open items
BA Presentation Kalra Catherine.pdf,17,future work,AI Consistency Check,future work,screenshot,,,
BA Presentation Kalra Catherine.pdf,18,future work,AI Document Translation,future work,screenshot,,,
BA Presentation Kalra Catherine.pdf,19,thanks,Thank you for listening!,questions/thanks,none,,,
BA Presentation Kalra Catherine.pdf,20,appendix,Icon Sources,appendix-content,none,,,
BA Presentation Kalra Catherine.pdf,21,appendix,Dynamic Model,appendix-content,formal UML/model,activity,partial,second activity diagram
BA Presentation Pao Xin Tan.pdf,1,title,Integrating Hades into Artemis,title,none,,,
BA Presentation Pao Xin Tan.pdf,2,context,Programming Exercise Feedback Loop,context,flow/pipeline,,,code->build->result loop
BA Presentation Pao Xin Tan.pdf,3,motivation,Hades as an Alternative CI System,motivation,icon-array,,,
BA Presentation Pao Xin Tan.pdf,4,problem,Gaps: Integration between Artemis and Hades,problem,icon-array,,,
BA Presentation Pao Xin Tan.pdf,5,objectives,Objectives 1-3,objectives/requirements/RQ,icon-array,,,
BA Presentation Pao Xin Tan.pdf,6,scope,Use Case Model,domain/use-case,formal UML/model,use case,yes,"two system boundaries (Artemis+Hades), ~85% width"
BA Presentation Pao Xin Tan.pdf,7,demo,Live Demo,demo,none,,,separator at 7/12
BA Presentation Pao Xin Tan.pdf,8,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,New/Modified/Existing legend
BA Presentation Pao Xin Tan.pdf,9,dynamic model,Activity Diagram: Log Aggregation,dynamic/workflow,formal UML/model,activity,partial,container/step swimlane-ish partitions
BA Presentation Pao Xin Tan.pdf,10,status,Status,status,none,,,reuses objective wording w/ checks
BA Presentation Pao Xin Tan.pdf,11,future work,Future Work,future work,icon-array,,,
BA Presentation Pao Xin Tan.pdf,12,thanks,Thank you for your time!,questions/thanks,none,,,
BA Presentation Youssef El Toukhi.pdf,1,title,Iris as Autonomous AI Tutor in Artemis,title,none,,,
BA Presentation Youssef El Toukhi.pdf,2,context,"1,000+ Students Enrolled",context,other,,,big-number hook
BA Presentation Youssef El Toukhi.pdf,3,context,10 Tutors,context,other,,,big-number hook
BA Presentation Youssef El Toukhi.pdf,4,problem,High volume / limited tutors / repetitive,problem,icon-array,,,
